X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ,Field17
81.274595,17.131924,1114,PO1000008344,UNKNOWN,NAVA BHARAT PALM OIL MILL,NAVABHARAT,Not RSPO Certified, ,2020/09/01 00:00:00+00,17.131924,81.274595,"17.131924, 81.274595",81.274595,17.131924,IND,India,Andhra Pradesh,West Godavari,1-Fully Verified, , 
103.0136,-1.907167,1115,PO1000008345,UNKNOWN,KEDATON MULIA PRIMAS,KEDATON MULIA PRIMAS,Not RSPO Certified, ,2020/09/01 00:00:00+00,-1.907167,103.0136,"-1.907167, 103.0136",103.0136,-1.907167,IDN,Indonesia,Jambi,Batang Hari,1-Fully Verified, , 
117.8794,1.223889,1116,PO1000008346,UNION SAMPOERNA TRIPUTRA PERSADA (USTP),ETAM BERSAMA LESTARI,ETAM BERSAMA LESTARI,Not RSPO Certified, ,2020/09/01 00:00:00+00,1.223889,117.8794,"1.223889, 117.8794",117.8794,1.223889,IDN,Indonesia,Kalimantan Timur,Kutai Timur,1-Fully Verified, , 
-72.13408,4.286556,1117,PO1000008347,UNKNOWN,ABAGO S.A.S.,ABAGO S.A.S.,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.286556,-72.13408,"4.286556, -72.13408",-72.13408,4.286556,COL,Colombia,Meta,Puerto Gaitán,1-Fully Verified, , 
117.029386861,3.61297670894999,1118,PO1000008348,TRURICH RESOURCES,TEKNIK UTAMA MANDIRI,KRISTAL,Not RSPO Certified, ,2020/09/01 00:00:00+00,3.61297670895,117.029386861,"3.61297670895, 117.029386861",117.029386861,3.61297670895,IDN,Indonesia,Kalimantan Timur,Tana Tidung,1-Fully Verified, , 
-91.846862,17.767702,1119,PO1000008349,AGROINDUSTRIAL UUMBAL SA DE CV,AGROFORESTAL UUMBAL CHIAPAS S.A.P.I. DE C.V.,AGROFORESTAL UUMBAL,Not RSPO Certified, ,2020/09/01 00:00:00+00,17.767702,-91.846862,"17.767702, -91.846862",-91.846862,17.767702,MEX,Mexico,Chiapas,Palenque,2-High Confidence, , 
105.997228,-6.620621,1120,PO1000008380,PTPN III,PERKEBUNAN NUSANTARA VIII,KERTAJAYA,Not RSPO Certified, ,2020/09/01 00:00:00+00,-6.620621,105.997228,"-6.620621, 105.997228",105.997228,-6.620621,IDN,Indonesia,Banten,Lebak,1-Fully Verified, , 
116.121333,-2.092997,1121,PO1000008381,SUPERVENTURE,CAHAYA BINTANG SAWIT SEJATI,CAHAYA BINTANG SAWIT SEJATI 2,Not RSPO Certified, ,2020/09/01 00:00:00+00,-2.092997,116.121333,"-2.092997, 116.121333",116.121333,-2.092997,IDN,Indonesia,Kalimantan Timur,Paser,2-High Confidence, , 
103.28325,2.274505,1122,PO1000008382,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BERHAD,KILANG KEKAYAAN,Not RSPO Certified, ,2020/09/01 00:00:00+00,2.274505,103.28325,"2.274505, 103.28325",103.28325,2.274505,MYS,Malaysia,Johor,Keluang,1-Fully Verified, , 
103.637139,-1.528944,1123,PO1000008383,UNKNOWN,ERASAKTI WIRA FORESTAMA,ERASAKTI WIRA FORESTAMA 2,Not RSPO Certified, ,2020/09/01 00:00:00+00,-1.528944,103.637139,"-1.528944, 103.637139",103.637139,-1.528944,IDN,Indonesia,Jambi,Muaro Jambi,1-Fully Verified, , 
101.496835,3.009114,1124,PO1000008384,KILANG MINYAK SAWIT MERU SDN BHD,KILANG MINYAK SAWIT MERU SDN BHD,MERU,Not RSPO Certified, ,2020/09/01 00:00:00+00,3.009114,101.496835,"3.009114, 101.496835",101.496835,3.009114,MYS,Malaysia,Selangor,Klang,1-Fully Verified, , 
-73.111456,3.036639,1125,PO1000008385,C.I BIOCOSTA S.A,ACEITES S.A.,ACEITES S.A.,RSPO Certified,"RSPO Certified, MB",2020/09/01 00:00:00+00,3.036639,-73.111456,"3.036639, -73.111456",-73.111456,3.036639,COL,Colombia,Meta,Puerto Rico,1-Fully Verified, , 
102.244,-1.76147222,1126,PO1000008386,UNKNOWN,AGRO WIJAYA INDUSTRI,AGRO WIJAYA INDUSTRI,Not RSPO Certified, ,2020/09/01 00:00:00+00,-1.76147222,102.244,"-1.76147222, 102.244",102.244,-1.76147222,IDN,Indonesia,Jambi,Merangin,1-Fully Verified, , 
99.617973,2.706553,1127,PO1000008388,UNKNOWN,ANUGRAH MULTI SAWITA,ANUGRAH MULTI SAWITA,Not RSPO Certified, ,2020/09/01 00:00:00+00,2.706553,99.617973,"2.706553, 99.617973",99.617973,2.706553,IDN,Indonesia,Sumatera Utara,Asahan,1-Fully Verified, , 
113.9864769,-1.1395156,1128,PO1000008389,AGRINDO,ARCHIPELAGO TIMUR ABADI,ARCHIPELAGO,Not RSPO Certified, ,2020/09/01 00:00:00+00,-1.1395156,113.9864769,"-1.1395156, 113.9864769",113.9864769,-1.1395156,IDN,Indonesia,Kalimantan Tengah,Kapuas,1-Fully Verified, , 
105.2733333,-4.017361111,1129,PO1000008391,SUNGAI BUDI,TUNAS BARU LAMPUNG,MESUJI PKS 2,Not RSPO Certified, ,2020/09/01 00:00:00+00,-4.017361111,105.2733333,"-4.017361111, 105.2733333",105.2733333,-4.017361111,IDN,Indonesia,Lampung,Mesuji,1-Fully Verified, , 
105.3728,-4.70179,1130,PO1000008392,SAHABAT AGRO,LAMBANG BUMI PERKASA,LAMBANG BUMI PERKASA,Not RSPO Certified, ,2020/09/01 00:00:00+00,-4.70179,105.3728,"-4.70179, 105.3728",105.3728,-4.70179,IDN,Indonesia,Lampung,Lampung Tengah,1-Fully Verified, , 
101.796722,0.399736,1131,PO1000008393,UNKNOWN,JALUR PUSAKA SAKTI KUMALA,JALUR PUSAKA SAKTI KUMALA,Not RSPO Certified, ,2020/09/01 00:00:00+00,0.399736,101.796722,"0.399736, 101.796722",101.796722,0.399736,IDN,Indonesia,Riau,Pelalawan,1-Fully Verified, , 
-79.4947,-0.0441084,1132,PO1000008394,LA FABRIL,EXTRACTORA AGRICOLA RIO MANSO,PLANTA MONTERREY,Not RSPO Certified, ,2020/09/01 00:00:00+00,-0.0441084,-79.4947,"-0.0441084, -79.4947",-79.4947,-0.0441084,ECU,Ecuador,Santo Domingo de los Tsachilas,La Concordia,1-Fully Verified, , 
102.66131,-0.871308,1133,PO1000008395,UNKNOWN,PUTERA KERITANG SAWIT,PUTERA KERITANG SAWIT,Not RSPO Certified, ,2020/09/01 00:00:00+00,-0.871308,102.66131,"-0.871308, 102.66131",102.66131,-0.871308,IDN,Indonesia,Riau,Indragiri Hilir,1-Fully Verified, , 
